ITEMID	LEGISLAT	CATEG	SCRUTIN	PAGE	POUR	CONTRE	TITLE
2323	2	"Other"	3246	4580	365	234	"Algerian emergency"
2324	2	"Other"	3259	4977	100	513	"(PCF) o.j.--Morocco"
2325	2	"Other"	3260	4979	347	200	"(SFIO) o.j.--YAorocco"
2326	2	"Other"	3261	4980	320	287	"Depreux o.j.-Morocco (Throne Council)"
2327	2	"Other"	3262	4982	468	139	"Depreux o.j.-Morocco (Aix-les-Bains accords)"
2328	2	"Other"	3263	4983	455	143	"Depreux o.j.-Morocco--no additions"
2329	2	"Other"	3264	4985	462	136	"Depreux o.j.-Morocco--entirety"
2330	2	"Other"	3267	5120	274	305	"Gaberit o.j.--Algeria"
2331	2	"Other"	3270	5125	255	319	"Chevallier o.j.--Algeria"
2332	2	"Confidence"	3271	5161	303	254	"Gaberit o.j.--Algerian policy"
2333	2	"Other"	3279	5335	275	303	"Moro-Giafferi o.j. (govt. suppt.--gen. policy)"
2334	2	"Other"	3280	5337	289	276	"Pineau o.j.--gen.policy"
2335	2	"Confidence"	3281	5344	271	259	"Moro-Giaffcri o.j. (govt. suppt--gen. policy)"
2336	2	"Other"	3286	5408	266	320	"Benard: scrutin d'arrondissement"
2337	2	"Other"	3291	5438	245	317	"Barrachin: scrutin departmental"
2338	2	"Other"	3292	5439	285	302	"Caillavet: scrutin d arrondisment"
2339	2	"Other"	3297	5455	259	235	"Scrutin de liste, with PR"
2340	2	"Other"	3298	5463	144	459	"Lettre rectificative: Nat. Assembly reform"
2341	2	"Random"	3300	5494	253	352	"Contested minutes of previous session"
2342	2	"Confidence"	3301	5496	330	211	"Nat. Asseribly reform"
2343	2	"Other"	3325	5630	293	298	"Naegelen bill: Nat. Assembly reformscrutin d'arrondisement)"
2344	2	"Other"	3326	5632	130	359	"Barrachin-(scrutin departemental)"
2345	2	"Other"	3327	5633	217	381	"Hugues bill: Nat. Assembly reform"
2346	2	"Other"	3328	5635	231	374	"Bergasse bill: Nat. Assembly reform"
2347	2	"Confidence"	3330	5660	285	247	"Nat. Assembly reform:against all.counter.bills"
2348	2	"Other"	3348	5789	311	286	"Devinat bill: scrutin d'arrondissement"
2349	2	"Other"	3355	5843	334	265	"National Assembly reform: motion by Universal suff. com."
2350	2	"Random"	3361	5898	323	237	"Viatte amend: charitable organs_excepted--nat.literary.fund-tax"
2351	2	"Confidence"	3369	5970	363	212	"Deixonne m.pr.--retrospective budg."
2352	2	"Confidence"	3376	6067	218	318	"Opposed to agenda"
3001	3	"Other"	2	104	164	395	"Le Pen obj.--candidates for Nat. Ass.Bureau"
3002	3	"Random"	5	130	298	236	"Elect. valid. (Charente-Maritime)"
3003	3	"Investiture"	6	163	420	71	"Mollet"
3004	3	"Other"	9	226	249	303	"Cayeux invalid. motion"
3005	3	"Other"	10	229	194	259	"Tixier amend.--elect. rep (Bauchesdu Rhone)"
3006	3	"Other"	11	231	130	400	"Date for Le Pen interpell.--Algeria"
3007	3	"Other"	18	347	225	54	"Elect. valid. (Haute Garonne)"
3008	3	"Other"	19	371	288	279	"Agenda--entirety"
3009	3	"Random"	25	413	74	413	"Date, Icher interpell.--French Equat.Afrion"
3010	3	"Other"	34	519	301	276	"New agenda--entirety"
3013	3	"Confidence"	37	565	372	108	"Paid vacations, amend."
3015	3	"Random"	45	683	52	414	"Privat amend.--renting & mang. of small businesses"
3016	3	"Random"	47	716	137	323	"Date, Le Pen interpell.-Toulouse.incidents"
3017	3	"Other"	50	743	172	191	"Temple amend.,elect. rep. (Indre-etLoire)"
3018	3	"Other"	52	843	278	305	"Arrighi amend.--extend mandate of Algerian deputies"
3019	3	"Confidence"	53	869	463	62	"Gen. Algerian reform & prot., sr"
