MID	NAME	ID1	ID2	ID3	PARTY1	PARTY2	PARTY3	PARTY1N	PARTY2N	PARTY3N	GMP12	X12	Y12	CLA12_O	X12_O	Y12_O	GMP22	X22	Y22	CLA22_O	X22_O	Y22_O	GMP32	X32	Y32	CLA32_O	X32_O	Y32_O	DIM1PL	DIM2PL	CLA_PO	X_PO	Y_PO	SCAL7121	SCAL7122	SCAL7111	SCAL7112	SCALE781	SCALE782	SCALE751	SCALE752	SCALE741	SCALE742	SCA7101	SCA7102	SCA7103	SCA731	SCA732	SCA771	SCA772	SCA761	SCA762	SCA791	SCA792	MORICE
635	"Lambert E-L"	371			"MRP"	"Not seated"	"Not seated"	"Christian Democrat"	"Not Seated"	"Not Seated"	.915	.722	.362	.988	.5941176	0													-.515	-.008	.985	.014	-.509											2	"not dissident"	1									
636	"Lambert L."	372			"Communiste"	"Not seated"	"Not seated"	"Communist"	"Not Seated"	"Not Seated"	.989	-.861	-.508	1	-1.027382	-.4358592													.587	0	1	.468	.654																						
637	"Lambert M."	373			"Communiste"	"Not seated"	"Not seated"	"Communist"	"Not Seated"	"Not Seated"	.99	-.868	-.497	1	-1.027382	-.4358592													.582	0	1	.456	.654																						
638	"Lamblin"	374			"MRP"	"Not seated"	"Not seated"	"Christian Democrat"	"Not Seated"	"Not Seated"	.933	.967	.253	.994	.635628	-.12972													-.535	-.049	.988	.056	-.54											2	"not dissident"	0									
639	"Lamine-D."	375			"Not seated"	"Not seated"	"Not seated"	"Not seated"	"Not Seated"	"Not Seated"																																													
640	"Lamine-G."	376			"Socialiste"	"Not seated"	"Not seated"	"Socialist"	"Not Seated"	"Not Seated"	.928	.661	-.653	.976	.4592088	-.8250192													-.136	-.823	.982	.02	-.099																						
641	"Lamps"	377	358		"Communiste"	"Communiste"	"Not seated"	"Communist"	"Communist"	"Not Seated"	.989	-.87	-.493	1	-1.027382	-.4358592	.965	-.943	-.333	1	-.997728	-.1787281							.802	-.337	1	.01	.799																						
642	"Landry"	378			"Not seated"	"Not seated"	"Not seated"	"Not seated"	"Not Seated"	"Not Seated"																																													
643	"Lanet"		359		"Not seated"	"UDSR"	"Not seated"	"Not seated"	"Radical"	"Not Seated"							.74	.592	.423	.923	.10944	.2154605							-.562	-.405	.9	.014	-.56					1	1																
644	"Laniel"	379	360	331	"PRL"	"Rep. Indep."	"IPAS"	"Right"	"Right"	"Right"	.797	.445	.896	.968	.2750064	1.286822	.868	.841	.368	.969	.605568	.0323465	.864	.826	.271	.979	.5068624	-.0906704	-.446	.377	.96	.002	-.419									2	0				2	1			1	0			
645	"Lapie"	380	361	332	"Socialiste"	"Socialiste"	"Socialiste"	"Socialist"	"Socialist"	"Socialist"	.928	.719	-.478	.991	.5136912	-.6330336	.946	.243	.606	1	-.663936	.2044956	.96	.351	.936	1	.0059456	.6005056	-.172	-.701	.991	.028	-.11	1	1																				
646	"Laplace"		362		"Not seated"	"Radical-Soc."	"Not seated"	"Not seated"	"Radical"	"Not Seated"							.722	.577	.741	.922	.11856	.2280702							-.636	-.441	.887	.01	-.574					0	0																
647	"Lareppe"	381		333	"Communiste"	"Not seated"	"Communiste"	"Communist"	"Not Seated"	"Communist"	.989	-.861	-.508	1	-1.027382	-.4358592							.991	-.844	-.537	1	-1.208443	-.3879504	.766	0	1	.34	.828																						
648	"Laribi"	382			"Musul, Ind."	"Not seated"	"Not seated"	"Other"	"Not Seated"	"Not Seated"	.722	.528	.002	.876	.4592088	.2827896													-.483	.028	.885	.002	-.473																						
649	"Larpps"			330	"Not seated"	"Not seated"	"Communiste"	"Not seated"	"Not Seated"	"Communist"													.992	-.844	-.537	1	-1.208443	-.3879504	.766	0	1	.247	.826																						
650	"Larue R."			334	"Not seated"	"Not seated"	"Uff (Poujade)"	"Not seated"	"Not Seated"	"Poujadist"													.942	.817	-.577	1	.1248576	-1.022643	.21	.524	.992	.002	.245																						
651	"Larue T."			335	"Not seated"	"Not seated"	"Socialiste"	"Not seated"	"Not Seated"	"Socialist"													.95	.36	.933	1	0	.5767232	-.147	-.719	1	.116	-.086																						
652	"Laurelli"	383			"Non Inscrit"	"Not seated"	"Not seated"	"Christian Democrat"	"Not Seated"	"Not Seated"	.93	.819	.193	.987	.5811456	-.1634472													-.507	-.064	.991	.065	-.496											3	"dissident"	0									
653	"Laurens"			336	"Not seated"	"Not seated"	"IPAS"	"Not seated"	"Not Seated"	"Right"													.834	.86	.137	.972	.5678048	-.170936	-.296	.299	.972	.042	-.285																		1	3			
654	"Laurens C."	384	363		"Act. Pays Soc."	"Ind. Paysan"	"Not seated"	"Right"	"Right"	"Not Seated"	.811	.382	.799	.973	.298356	1.107809	.837	.849	.411	.936	.704064	.0444079							-.454	.28	.95	.002	-.409									2	0												
655	"Laurens R."		364		"Not seated"	"Ind. Paysan"	"Not seated"	"Not seated"	"Right"	"Not Seated"							.868	.863	.115	.948	.58368	.0169956							-.223	.458	.948	.091	-.426									1	0												
656	"Laurent A."	385			"Socialiste"	"Not seated"	"Not seated"	"Socialist"	"Not Seated"	"Not Seated"	.95	.698	-.717	.982	.4592088	-.8146416													-.136	-.823	.988	.08	-.123																						
657	"Laurent J-R"	386			"Not seated"	"Not seated"	"Not seated"	"Not seated"	"Not Seated"	"Not Seated"																																													
658	"Lavergne"	387			"Communiste"	"Not seated"	"Not seated"	"Communist"	"Not Seated"	"Not Seated"	.989	-.87	-.493	1	-1.027382	-.4358592													.587	0	1	.449	.654																						
659	"Le Bail"	388	365		"Socialiste"	"Socialiste"	"Not seated"	"Socialist"	"Socialist"	"Not Seated"	.943	.704	-.711	.979	.4592088	-.8146416	.945	.244	.645	1	-.663936	.216557							-.155	-.78	.992	.063	-.136	0	2																				
660	"Le Cacheux"	389			"PRL"	"Not seated"	"Not seated"	"Right"	"Not Seated"	"Not Seated"	.898	.223	.975	1	-.0882096	1.90429													-.164	.603	1	.342	-.256														3	4							
661	"Le Coent"	390			"Not seated"	"Not seated"	"Not seated"	"Not seated"	"Not Seated"	"Not Seated"																																													
662	"Le Coutaller"	393	370		"Socialiste"	"Socialiste"	"Not seated"	"Socialist"	"Socialist"	"Not Seated"	.902	.618	-.697	.961	.4592088	-.8146416	.945	.244	.646	1	-.663936	.216557							-.156	-.782	.983	.075	-.136																						
663	"Le Cozannet"		371		"Not seated"	"Rep. Indep."	"Not seated"	"Not seated"	"Right"	"Not Seated"							.896	.922	.189	.967	.559968	.0010965							-.332	.373	.961	.095	-.329									2	0												
664	"Le Floch"			344	"Not seated"	"Not seated"	"Socialiste"	"Not seated"	"Not Seated"	"Socialist"													.952	.364	.931	1	0	.5767232	-.147	-.719	1	.117	-.086																						
665	"Le Pen"			357	"Not seated"	"Not seated"	"Uff (Poujade)"	"Not seated"	"Not Seated"	"Poujadist"													.842	.954	-.299	.963	.4592976	-.8011696	.205	.517	.951	.23	.102																						
666	"Le Rail"			337	"Not seated"	"Not seated"	"Socialiste"	"Not seated"	"Not Seated"	"Socialist"													.94	.301	.942	.993	-.044592	.6436112	-.122	-.795	1	.121	-.069																						
667	"Le Roy-Lad."		384		"Not seated"	"Ind. Paysan"	"Not seated"	"Not seated"	"Right"	"Not Seated"							.753	.764	-.401	.887	.691296	-.127193							-.177	.546	.887	.003	-.18									0	2												
668	"Le Sassier"	404			"Not seated"	"Not seated"	"Not seated"	"Not seated"	"Not Seated"	"Not Seated"																																													
669	"Le Sciellor"	405	385		"MRP"	"MRP"	"Not seated"	"Christian Democrat"	"Christian Democrat"	"Not Seated"	.875	.745	.219	.978	.5500128	-.1634472	.822	.704	.408	.939	.381216	.0202851							-.527	-.052	.974	.005	-.521			0	0							2	"dissident"	0									
670	"Le Senechal"		386		"Not seated"	"Socialiste"	"Not seated"	"Not seated"	"Socialist"	"Not Seated"							.918	.258	.635	.994	-.65664	.2033991							-.117	-.755	.994	.069	-.107																						
671	"Le Strat"			360	"Not seated"	"Not seated"	"Socialiste"	"Not seated"	"Not Seated"	"Socialist"													.955	.292	.957	1	-.0564832	.6644208	-.122	-.795	1	.089	-.102																						
672	"Le Troquer"	409	388	362	"Socialiste"	"Socialiste"	"Socialiste"	"Socialist"	"Socialist"	"Socialist"	.95	.689	-.725	.981	.4592088	-.8146416	.947	.25	.564	1	-.662112	.2099781							-.137	-.789	.993	.081	-.123																						
673	"Lebon"		366		"Not seated"	"RPF, URAS, RS"	"Not seated"	"Not seated"	"Gaullist"	"Not Seated"							.842	.642	-.766	.947	.131328	-.183114							-.019	.356	.947	.017	-.005							2	0														
674	"Lecanuet"		367		"Not seated"	"MRP"	"Not seated"	"Not seated"	"Christian Democrat"	"Not Seated"							.765	.735	.41	.935	.384864	.0202851							-.501	-.061	.944	.025	-.491			1	2																		
675	"LeCaroff"			338	"Not seated"	"Not seated"	"Communiste"	"Not seated"	"Not Seated"	"Communist"													.992	-.84	-.542	1	-1.208443	-.3879504	.766	0	1	.247	.826																						
676	"Leclercq"			339	"Not seated"	"Not seated"	"Radical-Soc."	"Not seated"	"Not Seated"	"Radical"													.835	.532	.402	.952	.1025616	.4265968	-.414	-.293	.945	.044	-.044																				4	"favor school aid"	0
677	"Lecoeur"	391	368	340	"Communiste"	"Communiste"	"Radical-Soc."	"Communist"	"Communist"	"Radical"	.989	-.87	-.493	1	-1.027382	-.4358592	.968	-.945	-.326	1	-.990432	-.1770833	.766	.449	-.228	.952	-.133776	-.0431056	.804	-.343	.95	.006	.803																				0	"favor school aid"	0
678	"Lecourt"	392	369	341	"MRP"	"MRP"	"MRP"	"Christian Democrat"	"Christian Democrat"	"Christian Democrat"	.944	.857	.281	.997	.5811456	-.1245312	.813	.759	.426	.962	.384864	.0202851	.921	.652	.758	.986	.3032256	.349304	-.526	-.076	.984	.006	-.524			2	2							2	"not dissident"	0									
679	"Lecrivain-S"	394			"MRP"	"Not seated"	"Not seated"	"Christian Democrat"	"Not Seated"	"Not Seated"	.562	.009	-.237	.834	-.5033136	.0492936													.159	-.003	.857	.002	.128											2	"not dissident"	0									
680	"Leenhardt"	395	372	342	"Socialiste"	"Socialiste"	"Socialiste"	"Socialist"	"Socialist"	"Socialist"	.95	.698	-.716	.982	.4592088	-.8146416	.946	.242	.598	1	-.663936	.2044956	.952	.274	.962	1	-.0237824	.661448	-.128	-.772	.995	.018	-.111	0	1																				
681	"Lefebvre"	396	373	343	"MRP"	"MRP"	"MRP"	"Christian Democrat"	"Christian Democrat"	"Christian Democrat"	.861	.754	-.009	.979	.5396352	-.19458	.648	.648	.34	.85	.381216	.0197368	.835	.575	.613	.953	.2467424	.3061984	-.532	-.104	.933	.002	-.523			0	0							2	"not dissident"	0									
682	"Lefevre-P."	397			"PRL"	"Not seated"	"Not seated"	"Right"	"Not Seated"	"Not Seated"	.838	.175	.985	.993	-.0415104	1.504752													-.175	.552	.993	.03	-.199														4	4							
683	"Lefevre R."		374		"Not seated"	"Ind. Paysan"	"Not seated"	"Not seated"	"Right"	"Not Seated"							.862	.868	.031	.958	.8664	-.002193							-.296	.482	.961	.009	-.275									2	0												
684	"Leforest"			323	"Not seated"	"Not seated"	"Radical-Soc."	"Not seated"	"Not Seated"	"Radical"													.903	.511	.817	.98	.29728	1.033048	-.333	-.563	.98	.206	-.35																				4	"favor school aid"	0
685	"Lefranc"		375	345	"Not seated"	"RPF, URAS, RS"	"IPAS"	"Not seated"	"Gaullist"	"Right"							.837	.759	-.651	.965	.35568	-.2176535	.738	.92	-.09	.969	.5826688	-.5291584	.03	.568	.957	.016	.052																		3	3			
686	"Lefranc"			346	"Not seated"	"Not seated"	"Communiste"	"Not seated"	"Not Seated"	"Communist"													.956	-.679	-.734	.993	-.5915872	-.274984	.653	-.122	.993	.002	.554																						
687	"Legagneu"			347	"Not seated"	"Not seated"	"Communiste"	"Not seated"	"Not Seated"	"Communist"													.991	-.837	-.548	1	-1.208443	-.26012	.766	0	1	.249	.826																						
688	"Legaret"		376		"Not seated"	"UDSR"	"Not seated"	"Not seated"	"Radical"	"Not Seated"							.776	.687	.404	.94	.31008	.151864							-.653	.031	.879	.057	-.251					3	2																
689	"Legendre"	398	377	348	"PRL"	"RPF, URAS, RS"	"IPAS"	"Right"	"Gaullist"	"Right"	.849	.102	.995	.993	-.168636	1.504752	.805	.818	-.575	.946	.445056	-.2713816	.764	.953	-.132	.96	.5261856	-.4934848	-.086	.603	.959	.002	-.048							4	2						2	4			4	1			
690	"Leger"			349	"Not seated"	"Not seated"	"Uff (Poujade)"	"Not seated"	"Not Seated"	"Poujadist"													.946	.814	-.581	1	.1248576	-1.022643	.21	.524	.993	.002	.245																						
691	"Lejeune"	400	378	350	"Socialiste"	"Socialiste"	"Socialiste"	"Socialist"	"Socialist"	"Socialist"	.907	.79	-.296	.987	.5162856	-.6122784	.926	.239	.449	1	-.660288	.1951754	.907	.486	.845	.993	.274984	.981024	-.178	-.64	.976	.002	-.224	1	0																				
692	"Lejeune H."	399			"Communiste"	"Not seated"	"Not seated"	"Communist"	"Not Seated"	"Not Seated"	.99	-.859	-.511	1	-1.027382	-.4358592													.587	0	1	.453	.654																						
693	"Lemaire"		379	351	"Not seated"	"RPF, URAS, RS"	"Rep. Soc."	"Not seated"	"Gaullist"	"Gaullist"							.801	.673	-.594	.925	.242592	-.1167763	.667	.594	.215	.871	.4028144	1.195066	-.05	.34	.921	.004	-.053							2	2														
694	"Lempereur"	401	380	352	"Socialiste"	"Socialiste"	"Socialiste"	"Socialist"	"Socialist"	"Socialist"	.95	.699	-.715	.982	.4592088	-.8146416	.946	.245	.627	1	-.663936	.216557	.954	.275	.961	1	-.0564832	.6644208	-.148	-.794	.995	.011	-.125	0	2																				
695	"Lenor"			353	"Not seated"	"Not seated"	"Not seated"	"Not seated"	"Not Seated"	"Not Seated"																																													
696	"Lenorman"			354	"Not seated"	"Not seated"	"Communiste"	"Not seated"	"Not Seated"	"Communist"													.992	-.844	-.537	1	-1.208443	-.3879504	.766	0	.894	.121	-.37																						
697	"Lenorman"			355	"Not seated"	"Not seated"	"Non Inscrit"	"Not seated"	"Not Seated"	"Non-Affiliated"													.687	.564	.12	.872	.2363376	.29728	-.417	-.059	1	.253	.826																						
698	"Lenormand A"	402	381		"Communiste"	"Communiste"	"Not seated"	"Communist"	"Communist"	"Not Seated"	.989	-.861	-.508	1	-1.027382	-.4358592	.943	-.946	-.324	.997	-.990432	-.1770833							.813	-.346	.999	.01	.803																						
699	"Lenormand M"		382		"Not seated"	"Non Inscrit"	"Not seated"	"Not seated"	"Non-Affiliated"	"Not Seated"							.658	.64	.272	.861	.235296	.091557							-.523	-.104	.848	.007	-.423																						
700	"Leotard"		383	356	"Not seated"	"Radical-Soc."	"Rad. (Faure)"	"Not seated"	"Radical"	"Radical"							.777	.792	.244	.936	1.564992	.0378289	.737	.754	.23	.922	.4786208	-.0535104	-.712	.138	.911	.034	-.754					3	2																
701	"Lepervanch"	403			"Communiste"	"Not seated"	"Not seated"	"Communist"	"Not Seated"	"Not Seated"	.99	-.868	-.497	1	-1.027382	-.4358592													.587	0	1	.466	.654																						
702	"Lepkowsk"			364	"Not seated"	"Not seated"	"Radical-Soc."	"Not seated"	"Not Seated"	"Radical"													.742	.555	-.219	.877	-.1144528	-.118912	.194	.08	.877	.008	.156																						
703	"Leroy"			358	"Not seated"	"Not seated"	"Communiste"	"Not seated"	"Not Seated"	"Communist"													.992	-.841	-.541	1	-1.208443	-.3879504	.766	0	1	.237	.826																						
704	"LescoraL"	406			"MRP"	"Not seated"	"Not seated"	"Christian Democrat"	"Not Seated"	"Not Seated"	.868	.681	.304	.952	.5500128	-.1634472													-.537	-.021	.956	.003	-.537											2	"not dissident"	0									
705	"Lespes"	407			"MRP"	"Not seated"	"Not seated"	"Christian Democrat"	"Not Seated"	"Not Seated"	.821	.172	.772	.979	-.1919856	1.175263													-.068	.502	.962	.018	-.088											2	"not dissident"	0									
706	"Lespiau"			359	"Not seated"	"Not seated"	"Communiste"	"Not seated"	"Not Seated"	"Communist"													.992	-.845	-.535	1	-1.208443	-.3879504	.766	0	1	.253	.826																						
707	"Letoquar"			361	"Not seated"	"Not seated"	"Communiste"	"Not seated"	"Not Seated"	"Communist"													.991	-.84	-.543	1	-1.208443	-.5009168	.766	0	1	.252	.826																						
708	"Letourneau"	408	387		"MRP"	"MRP"	"Not seated"	"Christian Democrat"	"Christian Democrat"	"Not Seated"	.937	.931	.083	.994	.6382224	-.2309016	.836	.794	.576	.955	.454176	.0274123							-.521	-.025	.961	.005	-.533			3	3							2	"not dissident"	0									
709	"Levacher"		389		"Not seated"	"Ind. Paysan"	"Not seated"	"Not seated"	"Right"	"Not Seated"							.857	.919	-.391	.946	.687648	-.1041667							-.198	.6	.946	.008	-.17									2													
710	"Levindrey"	410	390	363	"Socialiste"	"Socialiste"	"Socialiste"	"Socialist"	"Socialist"	"Socialist"	.933	.653	-.758	.973	.4592088	-.8146416	.935	.24	.514	1	-.596448	.1798246	.954	.285	.958	1	-.0564832	.6644208	-.101	-.782	.99	.014	-.114	0	1																				
711	"Lhuissier"	412			"Socialiste"	"Not seated"	"Not seated"	"Socialist"	"Not Seated"	"Not Seated"	.928	.701	-.67	1	.2386848	-.8639352													-.064	-.609	1	.473	-.076																						
712	"Liautey"		391		"Not seated"	"Gauche Ind."	"Not seated"	"Not seated"	"Right"	"Not Seated"							.626	.683	-.539	.813	.238944	-.252193							-.165	.532	.796	.002	-.168									0	2												
713	"Linet"		392		"Not seated"	"Communiste"	"Not seated"	"Not seated"	"Communist"	"Not Seated"							.965	-.943	-.333	1	-.997728	-.1787281							.828	-.359	1	.108	.822																						
714	"Lipkowski"		393		"Not seated"	"RPF, URAS, RS"	"Not seated"	"Not seated"	"Gaullist"	"Not Seated"							.71	.541	-.601	.887	-.196992	-.1666667							.166	-.029	.792	.018	-.003							1	1														
715	"Liquard"	413	394	365	"MRP"	"RPF, URAS, RS"	"Rep. Soc."	"Christian Democrat"	"Gaullist"	"Gaullist"	.859	.142	.99	.989	-.1867968	1.237529	.837	.653	-.758	.937	.215232	-.1694079	.747	.702	.129	.918	.2928208	-.0654016	-.031	.35	.963	.003	-.025							2	2			2	"not dissident"	0									
716	"Lisette"	414		366	"Progressiste"	"Not seated"	"UDSR"	"Other"	"Not Seated"	"Radical"	.824	-.198	-.429	.946	-.7445928	-.051888							.864	.558	.47	.957	.0356736	.2705248	.241	.13	.918	.002	.18																				3	"favor school aid"	0
717	"Litalien"		395		"Not seated"	"Ind. Paysan"	"Not seated"	"Not seated"	"Right"	"Not Seated"							.892	.9	.105	.985	.718656	-.0213816							-.315	.458	.992	.109	-.315										0												
718	"Liurette"		396		"Not seated"	"Socialiste"	"Not seated"	"Not seated"	"Socialist"	"Not Seated"							.939	.253	.599	.997	-.65664	.2033991							-.117	-.755	.997	.065	-.107																						
719	"Livry-Lev."	415			"MRP"	"Not seated"	"Not seated"	"Christian Democrat"	"Not Seated"	"Not Seated"	.766	.228	.608	.942	-.1582584	1.268662													-.085	.493	.934	.002	-.096											2	"not dissident"	0									
720	"Llante"	416		367	"Communiste"	"Not seated"	"Communiste"	"Communist"	"Not Seated"	"Communist"	.99	-.866	-.5	1	-1.027382	-.4358592							.991	-.834	-.552	1	-1.208443	-.3879504	.766	0	1	.344	.828																						
721	"lloro-Gi"			436	"Not seated"	"Not seated"	"Radical-Soc."	"Not seated"	"Not Seated"	"Radical"													.829	.478	-.052	.939	-.1322896	-.0416192	-.246	-.23	.918	.5	-.316																						
722	"Loustau"	417	397	368	"Socialiste"	"Socialiste"	"Socialiste"	"Socialist"	"Socialist"	"Socialist"	.95	.698	-.716	.982	.4592088	-.8146416	.934	.245	.546	.997	-.627456	.2061404	.9	.44	.743	.96	.2274192	.9750784	-.156	-.809	.986	.037	-.135	0	2																				
723	"Loustaunau"		398		"Not seated"	"Gauche Ind."	"Not seated"	"Not seated"	"Right"	"Not Seated"							.661	.675	-.259	.827	.2736	-.0794956							-.117	.421	.819	.004	-.094									0	2												
724	"Louvel"	418	399	369	"MRP"	"MRP"	"MRP"	"Christian Democrat"	"Christian Democrat"	"Christian Democrat"	.89	.818	.188	.981	.6382224	-.2309016	.827	.839	.513	.951	.454176	.0274123	.84	.64	.516	.96	.282416	.2987664	-.521	-.025	.952	.004	-.533			3	3							2	"not dissident"	0									
725	"Lozeray"	419			"Communiste"	"Not seated"	"Not seated"	"Communist"	"Not Seated"	"Not Seated"	.992	-.857	-.516	1	-.8976624	-.3346776													.324	.182	1	.501	.341																						
726	"Lucas"	420	400	370	"MRP"	"MRP"	"MRP"	"Christian Democrat"	"Christian Democrat"	"Christian Democrat"	.925	.925	.275	.988	.635628	-.12972	.802	.76	.374	.953	.384864	.0202851	.909	.661	.75	.978	.312144	.2556608	-.498	-.044	.971	.021	-.502			2	3							2	"not dissident"	0									
727	"Luciani"			371	"Not seated"	"Not seated"	"Uff (Poujade)"	"Not seated"	"Not Seated"	"Poujadist"													.854	.903	-.43	.974	.5440224	-1.264926	.205	.517	.957	.109	.165																						
728	"Luirette"		401		"Not seated"	"Not seated"	"Not seated"	"Not seated"	"Not Seated"	"Not Seated"																																													
729	"Lussy"	421	402	372	"Socialiste"	"Socialiste"	"Socialiste"	"Socialist"	"Socialist"	"Socialist"	.95	.699	-.715	.982	.4592088	-.8146416	.946	.245	.597	1	-.663936	.2044956	.955	.289	.957	1	-.0564832	.6644208	-.12	-.781	.995	.021	-.112	0	1																				
730	"Lux"			373	"Not seated"	"Not seated"	"MRP"	"Not seated"	"Not Seated"	"Christian Democrat"													.885	.626	.596	.973	.2734976	.2690384	-.52	-.063	.979	.207	-.431																						
731	"Mabrut"	422	403	374	"Socialiste"	"Socialiste"	"Socialiste"	"Socialist"	"Socialist"	"Socialist"	.908	.618	-.761	.961	.4592088	-.8146416	.903	.239	.323	.994	-.605568	.1716009	.955	.281	.96	1	-.0490512	.6525296	-.099	-.797	.982	.009	-.11	0	0																				
732	"Macouin"	423			"PRL"	"Not seated"	"Not seated"	"Right"	"Not Seated"	"Not Seated"	.848	.185	.983	.996	-.0466992	1.489186													-.159	.537	.996	.068	-.161														4	4							
733	"Maga"		404	375	"Not seated"	"Non Inscrit"	"Ind. Outremer"	"Not seated"	"Non-Affiliated"	"Right"							.719	.668	.38	.908	.244416	.0921053	.834	.583	.535	.958	.2720112	.3180896	-.526	-.104	.922	.017	-.427																						
734	"Magendie"		405		"Not seated"	"RPF, URAS, RS"	"Not seated"	"Not seated"	"Gaullist"	"Not Seated"							.824	.629	-.777	.941	.162336	-.1600877							-.032	.344	.955	.01	-.032							1	1														
735	"Maharnou"			376	"Not seated"	"Not seated"	"Ind. Outremer"	"Not seated"	"Not Seated"	"Right"													.768	.554	.156	.959	.0104048	.022296	-.013	.014	.907	.038	-.022																						
736	"Mailhe"		406	377	"Not seated"	"Radical-Soc."	"Radical-Soc."	"Not seated"	"Radical"	"Radical"							.749	.586	.794	.95	.114912	.2291667	.78	.532	.229	.941	.0460784	.3166032	-.589	-.425	.915	.005	-.549					0	0														3	"favor school aid"	0
737	"Maillocheau"	424			"Communiste"	"Not seated"	"Not seated"	"Communist"	"Not Seated"	"Not Seated"	.989	-.861	-.508	1	-1.027382	-.4358592													.587	0	1	.466	.654																						
738	"Malbrant"	425	407	378	"UDSR"	"RPF, URAS, RS"	"Rep. Soc."	"Radical"	"Gaullist"	"Gaullist"	.826	.175	.792	.985	-.19458	1.400976	.838	.65	-.76	.945	.193344	-.1655702	.71	.668	.056	.913	.1694496	-.1724224	-.029	.351	.96	.004	-.027							1	2								3	3					
739	"Malleret"			379	"Not seated"	"Not seated"	"Communiste"	"Not seated"	"Not Seated"	"Communist"													.992	-.844	-.537	1	-1.208443	-.3879504	.766	0	1	.25	.826																						
740	"Mallez"	426	408		"Rep. Dem. Soc."	"RPF, URAS, RS"	"Not seated"	"Right"	"Gaullist"	"Not Seated"	.824	.265	.964	.993	.0492936	1.312766	.83	.808	-.589	.961	.443232	-.2439693							-.117	.478	.965	.002	-.148														3	4							
741	"Mamadou"	427	409		"Progressiste"	"Rass. Dem. Afr."	"Not seated"	"Other"	"Radical"	"Not Seated"	.765	-.131	-.389	.917	-.7419984	-.0415104	.763	.609	.527	.929	.162336	.1737939							.22	.244	.86	.002	.18					2	0																
742	"Mamba Sano"	428	410		"Non Inscrit"	"Ind. Outremer"	"Not seated"	"Non-Affiliated"	"Right"	"Not Seated"	.495	.252	-.452	.755	-.1011816	-.8898792	.718	.667	.374	.911	.244416	.0921053							-.383	.039	.784	.004	-.392									1	0												
743	"Manceau B."		411	380	"Not seated"	"Ind. Paysan"	"Paysan"	"Not seated"	"Right"	"Right"							.804	.804	-.07	.922	.536256	-.0389254	.801	.948	-.286	.971	.542536	-.6123968	-.221	.559	.902	.017	-.258									0	1												
744	"Manceau R."	429	412	381	"Communiste"	"Communiste"	"Communiste"	"Communist"	"Communist"	"Communist"	.989	-.861	-.508	1	-1.027382	-.4358592	.96	-.943	-.333	.997	-.990432	-.1770833	.976	-.87	-.494	.993	-.5960464	-.3240352	.811	-.342	.998	.011	.803																						
745	"Mancey"		413	382	"Not seated"	"Communiste"	"Communiste"	"Not seated"	"Communist"	"Communist"							.965	-.943	-.333	1	-.997728	-.1787281	.991	-.836	-.548	1	-1.208443	-.3879504	.803	-.335	1	.014	.804																						
746	"Mao"			383	"Not seated"	"Not seated"	"Socialiste"	"Not seated"	"Not Seated"	"Socialist"													.955	.273	.962	1	-.0490512	.6525296	-.122	-.795	1	.121	-.07																						
747	"Marc-Sang."	431			"MRP"	"Not seated"	"Not seated"	"Christian Democrat"	"Not Seated"	"Not Seated"	.958	.94	.205	.995	.6070896	-.1530696													-.544	-.062	1	.056	-.539											2	"not dissident"	0									
748	"Marcellin"	430	414	384	"PRL"	"Ind. Paysan"	"IPAS"	"Right"	"Right"	"Right"	.779	.521	.481	.906	.5085024	.7056768	.792	.837	.186	.927	1.311456	.0427632	.853	.848	.272	.985	.6703664	-.126344	-.564	.216	.943	.005	-.562									2					0				1	1			
749	"Margueri"			385	"Not seated"	"Not seated"	"Socialiste"	"Not seated"	"Not Seated"	"Socialist"													.955	.281	.96	1	-.0490512	.6525296	-.122	-.795	1	.122	-.07																						
750	"Mariat"			386	"Not seated"	"Not seated"	"Communiste"	"Not seated"	"Not Seated"	"Communist"													.991	-.84	-.543	1	-1.208443	-.3879504	.766	0	1	.252	.826																						
751	"Marie"	432	415	387	"Radical-Soc."	"Radical-Soc."	"Radical-Soc."	"Radical"	"Radical"	"Radical"	.859	.658	.111	.962	.505908	.2646288	.849	.733	.68	.963	.41952	.2697369	.721	.624	.205	.913	.096616	.1352624	-.612	-.007	.934	.004	-.595																0	0				2	1
752	"Marigond"			410	"Not seated"	"Not seated"	"Socialiste"	"Not seated"	"Not Seated"	"Socialist"													.953	.284	.959	1	-.0549968	.661448	-.122	-.795	1	.038	-.135																						
753	"Marin"	433		388	"Rep. Dem. Soc."	"Not seated"	"Communiste"	"Right"	"Not Seated"	"Communist"	.679	.313	.464	.888	.207552	1.185641							.992	-.833	-.554	1	-1.208443	-.3879504	.249	-.632	.702	.002	.26															4							
754	"Marosell"			389	"Not seated"	"Not seated"	"Radical-Soc."	"Not seated"	"Not Seated"	"Radical"													.898	.467	.693	.972	.274984	.981024	-.333	-.563	.972	.206	-.35																				4	"favor school aid"	0
755	"Marrane"			390	"Not seated"	"Not seated"	"Communiste"	"Not seated"	"Not Seated"	"Communist"													.991	-.841	-.541	1	-1.208443	-.3879504	.766	0	1	.25	.826																						
756	"Martel H."	435	416	391	"Communiste"	"Communiste"	"Communiste"	"Communist"	"Communist"	"Communist"							.954	-.944	-.331	.997	-.990432	-.1770833	.991	-.842	-.54	1	-1.208443	-.5009168	.807	-.338	.998	.011	.803																						
