MID	NAME	ID1	ID2	ID3	PARTY1	PARTY2	PARTY3	PARTY1N	PARTY2N	PARTY3N	GMP12	X12	Y12	CLA12_O	X12_O	Y12_O	GMP22	X22	Y22	CLA22_O	X22_O	Y22_O	GMP32	X32	Y32	CLA32_O	X32_O	Y32_O	DIM1PL	DIM2PL	CLA_PO	X_PO	Y_PO	SCAL7121	SCAL7122	SCAL7111	SCAL7112	SCALE781	SCALE782	SCALE751	SCALE752	SCALE741	SCALE742	SCA7101	SCA7102	SCA7103	SCA731	SCA732	SCA771	SCA772	SCA761	SCA762	SCA791	SCA792	MORICE
181	"Bruyneel"	112	94	93	"PRL"	"Ind. Paysan"	"IPAS"	"Right"	"Right"	"Right"	.785	.419	.587	.964	.4851528	.6849216	.813	.865	.074	.934	.625632	-.0054825	.857	.888	.038	.992	.4637568	-.33444	-.63	.351	.928	.007	-.639									3	0				2	0			3	1			
182	"Burlet"	113			"MRP"	"Not seated"	"Not seated"	"Christian Democrat"	"Not Seated"	"Not Seated"	.916	.708	.358	.982	.5889288	.0752376													-.519	.002	.985	.003	-.518											3	"not dissident"	1									
183	"Burlot"		95		"Not seated"	"MRP"	"Not seated"	"Not seated"	"Christian Democrat"	"Not Seated"							.836	.822	.398	.936	.415872	.0537281							-.505	-.002	.917	.007	-.606			3	3																		
184	"Buron"	114	96	94	"MRP"	"MRP"	"MRP"	"Christian Democrat"	"Christian Democrat"	"Christian Democrat"	.928	.797	.306	.985	.596712	-.0025944	.808	.716	.534	.951	.361152	.0663377	.832	.622	.515	.959	.3017392	.274984	-.522	-.095	.959	.002	-.511			1	0							1	"not dissident"	1									
185	"Cachin"	115	97	95	"Communiste"	"Communiste"	"Communiste"	"Communist"	"Communist"	"Communist"	.989	-.87	-.493	1	-1.027382	-.4358592	.967	-.945	-.328	1	-.995904	-.1781798	.991	-.855	-.518	1	-1.033048	-.5410496	.798	-.331	1	.014	.805																						
186	"Cadi"	116			"Musul, Ind."	"Not seated"	"Not seated"	"Other"	"Not Seated"	"Not Seated"	.759	.515	.047	.895	.5344464	.181608													-.523	.054	.899	.006	-.48																						
187	"Cadi Abd-el"		98		"Not seated"	"UDSR"	"Not seated"	"Not seated"	"Radical"	"Not Seated"							.815	.685	.483	.964	.341088	.1557018							-.624	-.016	.918	.021	-.354						2																
188	"Cadic"			96	"Not seated"	"Not seated"	"Paysan"	"Not seated"	"Not Seated"	"Right"													.812	.811	.123	.957	.5826688	-.1976912	-.363	.366	.964	.009	-.17																						
189	"Cagnaire"			237	"Not seated"	"Not seated"	"Socialiste"	"Not seated"	"Not Seated"	"Socialist"													.951	.364	.931	1	.0089184	.6123968	-.147	-.719	1	.117	-.086																						
190	"Cagne"		99	97	"Not seated"	"Communiste"	"Communiste"	"Not seated"	"Communist"	"Communist"							.949	-.948	-.318	.997	-.990432	-.1770833	.991	-.839	-.544	1	-1.208443	-.3879504	.807	-.338	.998	.011	.803																						
191	"Caillavet"	117	100	98	"Radical-Soc."	"Radical-Soc."	"Radical-Soc."	"Radical"	"Radical"	"Radical"	.716	.425	.3	.909	.4955304	.544824	.769	.632	.775	.936	.28272	.25	.684	.514	-.079	.852	-.1248576	0	-.519	-.282	.82	.006	-.455					1	0										0	1			2	"favor school aid"	0
192	"Caillet"		101		"Not seated"	"RPF, URAS, RS"	"Not seated"	"Not seated"	"Radical"	"Not Seated"							.705	.578	-.49	.883	-.041952	-.1299342							-.002	.339	.839	.011	.002					2	1																
193	"Calas"	118		99	"Communiste"	"Not seated"	"Communiste"	"Communist"	"Not Seated"	"Communist"	.988	-.874	-.486	1	-1.027382	-.4358592							.992	-.844	-.537	1	-1.208443	-.3879504	.766	0	1	.346	.828																						
194	"Caliot"		102		"Not seated"	"Radical-Soc."	"Not seated"	"Not seated"	"Radical"	"Not Seated"							.829	.687	.727	.977	.37392	.2976974							-.888	-.255	.914	.022	-.635					1	1																
195	"Calmel"			100	"Not seated"	"Not seated"	"Not seated"	"Not seated"	"Not Seated"	"Not Seated"																																													
196	"Calonne"	119			"Not seated"	"Not seated"	"Not seated"	"Not seated"	"Not Seated"	"Not Seated"																																													
